City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Керч,2016,9,18.7,29.8,7.9,4.1,39.4,0.0
Керч,2016,10,10.4,24.1,0.3,4.7,14.6,0.0
Керч,2016,11,6.3,21.3,-1.5,4.2,28.6,0.0
Керч,2016,12,-0.3,10.3,-8.1,4.4,35.2,1.0
Київ,2016,1,-5.6,6.3,-18.8,2.9,58.1,21.0
Київ,2016,2,2.0,11.2,-4.0,3.2,60.4,8.0
Київ,2016,3,3.9,15.5,-4.5,2.9,35.1,4.0
Київ,2016,4,12.4,24.7,2.0,2.6,68.0,0.0
Київ,2016,5,15.5,25.6,6.7,2.0,146.2,0.0
Київ,2016,6,20.5,31.4,8.6,2.2,15.2,0.0
Київ,2016,7,22.4,34.6,12.8,2.6,46.2,0.0
Київ,2016,8,21.1,32.5,13.0,2.1,27.7,0.0
Київ,2016,9,16.1,28.5,6.4,2.0,5.5,0.0
Київ,2016,10,6.5,25.1,-1.7,2.2,103.1,3.0
Київ,2016,11,1.2,13.4,-8.9,3.2,48.8,14.0
Київ,2016,12,-1.5,6.5,-10.9,3.3,49.4,16.0
Кирилівка,2016,1,-4.7,8.4,-21.6,1.6,63.91,5.0
Кирилівка,2016,2,2.2,17.0,-8.0,1.6,36.1,0.0
Кирилівка,2016,3,4.6,15.0,-10.5,1.6,36.71,1.0
Кирилівка,2016,4,12.0,23.9,0.0,1.7,45.5,0.0
Кирилівка,2016,5,15.1,24.7,4.7,1.0,44.0,0.0
Кирилівка,2016,6,20.9,33.5,5.5,1.0,27.9,0.0
Кирилівка,2016,7,23.1,37.3,10.3,1.0,29.02,0.0
Кирилівка,2016,8,23.9,35.1,12.2,1.1,84.33,0.0
Кирилівка,2016,9,14.8,28.4,3.1,0.8,46.01,0.0
Кирилівка,2016,10,6.6,22.2,-5.7,1.2,36.73,0.0
Кирилівка,2016,11,1.9,16.0,-11.4,1.7,42.61,0.0
Кирилівка,2016,12,-4.2,5.8,-16.9,1.7,37.57,0.0
Кропивницький,2016,1,-5.9,4.4,-23.4,4.2,77.9,25.0
Кропивницький,2016,2,1.7,10.9,-8.6,4.2,35.9,8.0
Кропивницький,2016,3,4.4,16.2,-6.0,4.4,47.7,2.0
Кропивницький,2016,4,12.4,26.4,0.2,4.1,30.8,0.0
Кропивницький,2016,5,15.1,24.1,5.7,2.7,108.4,0.0
Кропивницький,2016,6,20.1,32.2,6.5,3.1,66.7,0.0
Кропивницький,2016,7,22.3,35.4,11.1,3.0,10.6,0.0
Кропивницький,2016,8,21.3,33.8,11.1,3.5,70.4,0.0
Кропивницький,2016,9,15.7,30.6,2.8,2.8,0.0,0.0
Кропивницький,2016,10,6.6,24.7,-5.8,4.1,143.9,0.0
Кропивницький,2016,11,1.5,17.1,-8.2,4.5,78.4,1.0
Кропивницький,2016,12,-2.6,6.1,-12.8,4.1,30.4,12.0
Кобеляки,2016,1,-6.5,4.6,-21.5,2.8,110.81,38.0
Кобеляки,2016,2,1.4,10.0,-7.9,3.0,29.11,21.0
Кобеляки,2016,3,4.0,12.8,-6.0,3.2,52.41,1.0
Кобеляки,2016,4,12.8,24.8,1.9,3.1,40.2,0.0
Кобеляки,2016,5,15.7,25.0,6.8,2.5,142.7,0.0
Кобеляки,2016,6,20.5,31.5,6.6,2.2,119.7,0.0
Кобеляки,2016,7,22.9,35.8,11.9,2.3,16.0,0.0
Кобеляки,2016,8,22.0,35.4,12.2,2.6,92.81,0.0
Кобеляки,2016,9,15.1,30.1,4.0,2.1,7.11,0.0
Кобеляки,2016,10,6.7,23.6,-5.0,2.9,69.62,0.0
Кобеляки,2016,11,1.3,16.8,-11.5,3.2,96.17,0.0
Кобеляки,2016,12,-3.1,4.4,-15.4,3.2,51.7,0.0
Ковель,2016,1,-4.3,8.6,-18.1,2.2,57.4,13.0
Ковель,2016,2,3.3,12.1,-6.0,2.9,35.4,0.0
Ковель,2016,3,3.9,13.4,-3.9,2.3,38.7,1.0
Ковель,2016,4,10.1,26.4,-1.7,2.4,55.5,0.0
Ковель,2016,5,15.1,27.3,2.0,1.6,39.3,0.0
Ковель,2016,6,19.2,33.2,5.0,1.8,207.6,0.0
Ковель,2016,7,20.1,33.0,9.3,2.1,41.11,0.0
Ковель,2016,8,19.0,32.1,5.1,1.7,38.8,0.0
Ковель,2016,9,14.8,30.0,0.7,1.4,14.31,0.0
Ковель,2016,10,6.7,24.8,-2.6,3.0,78.52,0.0
Ковель,2016,11,2.0,13.6,-10.4,2.9,62.12,0.0
Ковель,2016,12,-0.3,9.0,-11.6,3.1,40.13,0.0
Коломия,2016,1,-3.8,12.3,-19.5,1.5,28.0,11.0
Коломия,2016,2,3.7,17.5,-6.6,1.8,28.7,0.0
Коломия,2016,3,4.6,19.5,-6.5,1.6,36.6,4.0
Коломия,2016,4,10.9,26.2,-2.9,2.2,56.7,0.0
Коломия,2016,5,13.7,27.0,2.3,1.5,48.4,0.0
Коломия,2016,6,18.7,33.4,3.1,1.5,73.03,0.0
Коломия,2016,7,19.9,33.3,7.9,1.9,43.33,0.0
Коломия,2016,8,18.6,33.1,7.8,1.6,31.62,0.0
Коломия,2016,9,16.0,29.9,2.3,1.4,46.44,0.0
Коломия,2016,10,6.6,24.1,-1.5,1.8,137.98,0.0
Коломия,2016,11,0.8,16.7,-14.1,1.6,64.65,0.0
Коломия,2016,12,-0.6,18.4,-12.5,2.1,17.3,0.0
Комісарівка,2016,1,-6.4,5.1,-26.3,2.1,110.71,41.0
Комісарівка,2016,2,1.4,13.7,-13.2,2.2,25.8,25.0
Комісарівка,2016,3,4.6,13.2,-6.3,2.4,56.5,0.7
Комісарівка,2016,4,12.6,27.4,1.0,2.3,48.1,0.0
Комісарівка,2016,5,15.5,25.5,5.0,1.7,86.4,0.0
Комісарівка,2016,6,20.4,31.8,5.2,1.7,38.4,0.0
Комісарівка,2016,7,22.8,36.8,11.0,1.5,13.61,0.0
Комісарівка,2016,8,22.5,34.7,12.6,2.1,63.4,0.0
Комісарівка,2016,9,14.9,30.8,2.0,1.3,20.8,0.0
Комісарівка,2016,10,6.9,24.0,-6.1,2.4,88.3,0.0
Комісарівка,2016,11,1.8,17.4,-10.8,2.3,90.16,0.0
Комісарівка,2016,12,-2.9,5.6,-15.1,2.4,31.25,0.0
Конотоп,2016,1,-7.8,3.8,-21.3,2.6,58.9,25.0
Конотоп,2016,2,1.0,9.9,-7.2,2.8,48.2,7.0
Конотоп,2016,3,3.0,12.0,-6.4,2.5,50.3,2.0
Конотоп,2016,4,11.2,22.2,0.7,2.3,89.3,0.7
Конотоп,2016,5,15.0,27.7,4.6,1.8,118.1,0.0
Конотоп,2016,6,19.4,30.7,6.7,1.6,137.9,0.0
Конотоп,2016,7,21.6,34.3,11.8,1.5,82.5,0.0
Конотоп,2016,8,20.3,31.9,11.4,1.6,48.2,0.0
Конотоп,2016,9,13.7,29.4,2.4,1.3,3.1,0.0
Конотоп,2016,10,6.0,23.8,-1.8,2.1,84.2,1.0
Конотоп,2016,11,0.1,13.4,-9.8,2.7,47.7,6.0
Конотоп,2016,12,-3.1,4.7,-15.2,2.4,75.8,27.0
Красноград,2016,1,-7.1,4.7,-24.5,2.2,101.51,43.0
Красноград,2016,2,1.2,9.8,-6.6,2.5,31.41,28.0
Красноград,2016,3,3.7,12.7,-6.2,2.2,77.1,4.0
Красноград,2016,4,12.4,25.5,1.8,2.4,90.2,0.0
Красноград,2016,5,15.7,24.8,7.2,1.6,136.9,0.0
Красноград,2016,6,20.5,30.6,7.0,1.5,95.41,0.0
Красноград,2016,7,22.9,38.0,13.0,1.5,36.32,0.0
Красноград,2016,8,22.4,34.9,12.2,1.6,35.64,0.0
Красноград,2016,9,14.8,29.8,4.3,1.3,12.22,0.0
Красноград,2016,10,6.4,23.3,-3.7,2.1,48.65,0.0
Красноград,2016,11,1.0,16.0,-12.6,2.8,92.57,0.0
Красноград,2016,12,-4.2,3.2,-16.4,2.3,74.29,0.0
Крем’янець,2016,1,-3.9,9.2,-18.5,3.3,46.03,0.0
Крем’янець,2016,2,3.5,13.2,-3.7,5.4,36.3,0.0
Крем’янець,2016,3,4.0,14.3,-3.6,3.2,28.32,0.0
Крем’янець,2016,4,11.3,25.1,-0.4,3.3,38.28,0.0
Крем’янець,2016,5,14.4,26.2,3.8,2.2,70.37,0.0
Крем’янець,2016,6,19.3,31.9,6.2,2.7,65.52,0.0
Крем’янець,2016,7,20.7,33.2,11.0,2.8,51.65,0.0
Крем’янець,2016,8,20.0,32.0,8.0,2.2,22.87,0.0
Крем’янець,2016,9,15.9,30.4,3.8,1.7,11.74,0.0
Крем’янець,2016,10,6.9,24.8,-0.9,4.4,118.57,0.0
Крем’янець,2016,11,1.8,13.2,-8.1,3.9,97.12,0.0
Крем’янець,2016,12,-0.9,7.0,-8.4,3.6,53.09,0.0
Кривий Ріг,2016,1,-5.9,6.1,-22.8,4.1,73.3,46.0
Кривий Ріг,2016,2,1.9,14.8,-8.4,4.4,31.8,29.0
Кривий Ріг,2016,3,5.0,14.1,-8.6,4.8,49.5,0.0
Кривий Ріг,2016,4,12.4,27.3,1.0,4.7,46.1,0.0
Кривий Ріг,2016,5,15.5,24.6,5.8,3.5,66.6,0.0
Кривий Ріг,2016,6,20.5,32.2,6.3,3.3,74.2,0.0
Кривий Ріг,2016,7,23.1,36.9,11.1,3.4,20.0,0.0
Кривий Ріг,2016,8,22.9,35.5,13.5,4.6,38.0,0.0
Кривий Ріг,2016,9,16.3,30.8,3.7,3.2,23.0,0.0
Кривий Ріг,2016,10,7.0,23.6,-4.2,4.8,110.1,0.0
Кривий Ріг,2016,11,2.0,17.7,-9.4,4.6,76.2,3.0
Кривий Ріг,2016,12,-2.7,5.8,-15.2,4.6,24.2,11.0
Куп’янськ,2016,1,-6.4,5.3,-24.9,1.6,86.9,13.0
Куп’янськ,2016,2,2.1,15.2,-7.6,1.9,27.32,1.0
Куп’янськ,2016,3,4.3,13.8,-7.6,1.7,32.62,3.0
Куп’янськ,2016,4,12.3,25.3,-0.8,1.9,72.0,0.0
Куп’янськ,2016,5,16.2,26.7,3.4,1.2,108.0,0.0
Куп’янськ,2016,6,21.0,33.2,7.6,1.1,34.94,0.0
Куп’янськ,2016,7,23.3,39.5,11.2,1.0,75.12,0.0
Куп’янськ,2016,8,23.2,34.8,12.1,1.2,57.05,0.0
Куп’янськ,2016,9,13.7,31.6,2.0,0.9,42.65,0.0
Куп’янськ,2016,10,6.7,23.0,-6.8,1.4,11.53,0.0
Куп’янськ,2016,11,0.8,15.6,-13.6,1.8,76.22,0.0
Куп’янськ,2016,12,-4.8,3.7,-21.8,1.8,57.32,0.0
Лозова,2016,1,-6.8,4.6,-25.2,2.9,56.31,20.0
Лозова,2016,2,1.6,15.2,-7.4,3.4,23.4,7.0
Лозова,2016,3,3.8,13.0,-6.7,3.3,60.11,4.0
Лозова,2016,4,12.3,24.6,1.6,3.7,81.9,0.0
Лозова,2016,5,15.7,24.6,7.1,2.3,97.4,0.0
Лозова,2016,6,20.4,31.6,7.4,2.2,65.6,0.0
Лозова,2016,7,22.9,37.5,13.6,2.3,58.14,0.0
Лозова,2016,8,22.4,34.0,12.0,2.4,107.91,0.0
Лозова,2016,9,14.3,29.8,4.6,2.0,42.71,0.0
Лозова,2016,10,6.1,22.4,-6.0,3.0,49.71,0.0
Лозова,2016,11,1.0,16.6,-13.9,3.3,70.62,0.0
Лозова,2016,12,-4.8,3.4,-16.8,3.2,55.85,0.0
Лубни,2016,1,-7.0,4.2,-20.1,2.3,94.3,43.0
Лубни,2016,2,1.0,9.8,-8.4,2.4,56.5,31.0
Лубни,2016,3,3.7,13.3,-4.2,2.3,51.0,3.0
Лубни,2016,4,12.4,23.5,2.1,2.4,44.7,0.0
Лубни,2016,5,15.0,24.8,4.8,1.6,191.8,0.0
Лубни,2016,6,20.0,31.4,7.8,1.5,114.2,0.0
Лубни,2016,7,22.1,34.2,12.1,1.7,34.3,0.0
Лубни,2016,8,20.9,32.3,11.9,1.7,34.8,0.0
Лубни,2016,9,14.5,29.6,3.5,1.4,7.8,0.0
Лубни,2016,10,6.2,24.1,-5.5,2.0,77.0,0.0
Лубни,2016,11,0.5,14.8,-13.0,2.3,78.8,9.0
Лубни,2016,12,-2.9,4.8,-13.4,2.3,68.1,26.0
Луцьк,2016,1,-4.2,7.4,-16.8,3.1,48.83,13.0
Луцьк,2016,2,3.2,14.4,-4.2,3.7,28.42,0.0
Луцьк,2016,3,4.0,13.7,-3.6,3.1,18.01,0.0
Луцьк,2016,4,10.8,25.2,-1.1,3.2,33.81,0.0
Луцьк,2016,5,15.0,26.6,2.4,2.3,47.5,0.0
Луцьк,2016,6,19.3,32.7,5.4,2.8,58.64,0.0
Луцьк,2016,7,20.7,32.8,10.3,3.0,40.76,0.0
Луцьк,2016,8,19.6,32.0,6.2,1.8,79.05,0.0
Луцьк,2016,9,15.5,29.8,3.6,1.8,15.04,0.0
Луцьк,2016,10,6.9,24.6,-1.2,3.6,83.69,0.0
Луцьк,2016,11,1.7,9.3,-10.7,3.3,57.79,0.0
Луцьк,2016,12,-0.9,8.9,-12.0,3.6,41.47,0.0
Львів,2016,1,-3.8,8.5,-17.4,2.5,53.8,8.0
Львів,2016,2,3.4,14.4,-7.3,3.3,42.2,1.0
Львів,2016,3,3.9,15.1,-6.2,2.1,37.3,0.7
Львів,2016,4,10.1,23.8,-0.8,2.4,65.1,0.0
Львів,2016,5,14.3,26.7,0.7,1.8,68.8,0.0
Львів,2016,6,18.6,31.4,3.9,1.9,115.6,0.0
Львів,2016,7,19.2,31.0,7.2,2.1,47.4,0.0
Львів,2016,8,18.1,30.3,6.9,1.5,32.8,0.0
Львів,2016,9,15.4,29.2,5.5,1.3,39.3,0.0
Львів,2016,10,6.6,22.2,-1.7,3.1,178.3,0.0
Львів,2016,11,1.9,11.3,-12.2,3.1,109.2,21.0
Львів,2016,12,-1.4,6.8,-10.6,3.1,75.6,18.0
Любашівка,2016,1,-5.2,5.5,-23.1,2.6,54.0,22.0
Любашівка,2016,2,3.2,14.5,-4.3,3.2,35.4,7.0
Любашівка,2016,3,5.0,19.4,-4.7,3.5,35.2,4.0
Любашівка,2016,4,12.4,28.0,0.6,2.6,44.6,0.0
Любашівка,2016,5,15.1,25.5,5.0,2.4,67.6,0.0
Любашівка,2016,6,20.7,32.2,6.6,2.5,94.5,0.0
Любашівка,2016,7,22.4,35.5,11.8,2.0,25.7,0.0
Любашівка,2016,8,21.5,33.4,9.8,2.3,57.3,0.0
Любашівка,2016,9,17.2,30.4,4.3,2.1,2.4,0.0
Любашівка,2016,10,6.9,23.4,-2.7,2.8,119.6,0.0
Любашівка,2016,11,2.2,18.8,-8.6,3.0,63.9,1.0
Любашівка,2016,12,-1.8,8.4,-11.9,3.5,20.3,10.0
Маріуполь,2016,1,-4.0,6.0,-19.6,4.2,84.6,7.0
Маріуполь,2016,2,2.3,12.6,-3.8,4.0,56.4,8.0
Маріуполь,2016,3,5.1,10.6,-7.0,4.6,52.8,4.0
Маріуполь,2016,4,11.8,20.7,0.9,5.2,11.8,0.0
Маріуполь,2016,5,16.5,23.5,6.9,3.9,90.7,0.0
Маріуполь,2016,6,22.5,35.1,7.8,3.8,12.2,0.0
Маріуполь,2016,7,24.4,34.6,15.2,3.9,19.0,0.0
Маріуполь,2016,8,25.6,33.5,14.3,4.4,19.0,0.0
Маріуполь,2016,9,16.6,27.8,6.2,3.7,20.0,0.0
Маріуполь,2016,10,8.2,21.6,-4.2,6.4,28.7,0.0
Маріуполь,2016,11,3.1,15.0,-5.8,5.5,37.3,0.7
Маріуполь,2016,12,-3.0,7.7,-16.8,4.4,30.0,6.0
Миронівка,2016,1,-5.8,5.8,-21.3,3.0,71.1,26.0
Миронівка,2016,2,2.4,12.2,-4.2,3.5,51.3,7.0
Миронівка,2016,3,4.2,16.4,-4.1,3.1,35.5,6.0
Миронівка,2016,4,12.5,23.6,0.6,2.6,55.0,0.0
Миронівка,2016,5,15.2,25.3,5.3,1.9,91.3,0.0
Миронівка,2016,6,20.1,31.7,7.1,1.9,68.4,0.0
Миронівка,2016,7,22.2,35.4,10.7,2.2,19.1,0.0
Миронівка,2016,8,21.1,33.1,11.0,2.0,36.6,0.0
Миронівка,2016,9,15.7,30.0,4.0,1.9,2.2,0.0
Миронівка,2016,10,6.7,24.4,-2.3,2.4,74.5,0.0
Миронівка,2016,11,1.4,16.1,-9.6,3.1,43.7,8.0
Миронівка,2016,12,-1.8,6.2,-12.5,3.5,30.9,11.0
Могилів-Подільський,2016,1,-3.1,10.4,-18.3,1.3,33.7,9.0
Могилів-Подільський,2016,2,4.0,17.4,-4.6,1.4,61.9,5.0
Могилів-Подільський,2016,3,6.1,21.6,-4.6,1.5,17.4,0.0
Могилів-Подільський,2016,4,13.4,28.7,-2.4,1.5,24.1,0.0
Могилів-Подільський,2016,5,15.4,28.2,3.4,1.1,73.6,0.0
Могилів-Подільський,2016,6,21.0,34.2,4.1,1.2,52.0,0.0
Могилів-Подільський,2016,7,22.6,35.9,10.0,1.4,23.7,0.0
Могилів-Подільський,2016,8,21.1,36.4,8.6,1.2,38.4,0.0
Могилів-Подільський,2016,9,17.0,32.2,4.4,0.9,18.7,0.0
Могилів-Подільський,2016,10,7.5,24.3,-1.9,1.7,124.8,0.0
Могилів-Подільський,2016,11,3.1,18.3,-7.9,1.6,67.3,0.8
Могилів-Подільський,2016,12,0.1,10.2,-10.4,1.7,16.8,3.0
Ніжин,2016,1,-7.1,4.5,-22.4,3.0,48.1,26.0
Ніжин,2016,2,1.3,9.8,-5.5,3.3,54.51,5.0
Ніжин,2016,3,3.4,13.4,-4.1,2.9,34.8,1.0
Ніжин,2016,4,11.3,23.5,0.1,2.8,66.91,0.0
Ніжин,2016,5,14.9,26.4,3.7,2.0,146.2,0.0
Ніжин,2016,6,19.6,30.8,6.7,1.5,54.01,0.0
Ніжин,2016,7,21.4,33.5,9.9,1.7,49.44,0.0
Ніжин,2016,8,19.7,30.8,9.3,1.5,97.51,0.0
Ніжин,2016,9,13.7,28.2,1.1,1.3,6.71,0.0
Ніжин,2016,10,6.2,24.6,-4.3,2.4,118.91,0.0
Ніжин,2016,11,0.4,12.9,-14.2,3.3,31.27,0.0
Ніжин,2016,12,-2.3,5.6,-14.1,2.9,58.1,0.0
Миколаїв,2016,1,-4.4,6.9,-20.3,4.3,72.2,23.0
Миколаїв,2016,2,3.5,15.9,-5.3,4.3,28.9,6.0
Миколаїв,2016,3,6.1,15.9,-5.4,4.7,23.42,0.0
Миколаїв,2016,4,12.5,28.2,0.6,4.6,51.9,0.0
Миколаїв,2016,5,16.0,26.2,6.9,3.3,84.5,0.0
Миколаїв,2016,6,21.9,33.4,10.0,3.6,47.31,0.0
Миколаїв,2016,7,24.2,37.0,12.7,3.3,26.02,0.0
Миколаїв,2016,8,24.1,36.4,10.5,3.9,28.87,0.0
Миколаїв,2016,9,17.7,30.2,5.9,3.1,31.23,0.0
Миколаїв,2016,10,8.0,22.4,-2.9,4.3,93.94,0.0
Миколаїв,2016,11,3.3,16.3,-8.2,4.2,48.6,0.0
Миколаїв,2016,12,-1.2,9.9,-13.7,4.2,26.27,0.0
Звягель,2016,1,-4.6,7.7,-18.6,1.9,48.1,17.0
Звягель,2016,2,2.6,11.8,-3.5,2.4,53.6,7.0
Звягель,2016,3,3.7,13.4,-5.4,2.0,28.21,2.0
Звягель,2016,4,11.4,24.3,-0.8,2.0,34.41,0.0
Звягель,2016,5,15.1,26.6,4.7,1.5,45.6,0.0
Звягель,2016,6,20.2,31.4,5.3,1.8,42.5,0.0
Звягель,2016,7,20.7,32.2,10.9,1.9,48.82,0.0
Звягель,2016,8,19.9,32.8,7.1,1.5,12.52,0.0
Звягель,2016,9,15.1,29.6,2.6,1.2,6.41,0.0
Звягель,2016,10,6.2,24.9,-2.3,2.1,100.92,0.0
Звягель,2016,11,1.0,9.7,-9.5,2.4,79.49,0.0
Звягель,2016,12,-1.6,8.6,-14.5,2.4,55.43,0.0
Нова Каховка,2016,1,-3.1,10.0,-17.5,3.0,63.02,10.0
Нова Каховка,2016,2,4.2,18.7,-3.4,2.7,28.0,0.0
Нова Каховка,2016,3,6.2,15.4,-5.3,2.8,37.01,0.0
Нова Каховка,2016,4,12.9,28.7,1.3,2.5,40.1,0.0
Нова Каховка,2016,5,16.4,25.5,8.1,2.1,75.7,0.0
Нова Каховка,2016,6,22.4,34.4,8.5,2.1,70.41,0.0
Нова Каховка,2016,7,24.6,36.1,13.0,2.1,7.72,0.0
Нова Каховка,2016,8,25.2,35.4,11.3,2.6,23.95,0.0
Нова Каховка,2016,9,18.1,29.7,6.5,2.1,33.42,0.0
Нова Каховка,2016,10,9.2,23.2,-1.3,3.2,110.15,0.0
Нова Каховка,2016,11,4.2,19.0,-7.2,2.7,40.08,0.0
Нова Каховка,2016,12,-1.1,9.1,-9.9,2.8,16.12,0.0
Нова Ушиця,2016,1,-4.2,7.7,-19.4,2.2,31.4,8.0
Нова Ушиця,2016,2,2.9,15.4,-4.3,2.3,50.11,1.0
Нова Ушиця,2016,3,4.4,18.9,-3.5,2.1,12.31,0.0
Нова Ушиця,2016,4,12.3,25.1,-1.2,2.2,26.41,0.0
Нова Ушиця,2016,5,14.5,26.5,2.2,1.4,90.9,0.0
Нова Ушиця,2016,6,19.5,30.8,5.1,1.4,64.01,0.0
Нова Ушиця,2016,7,21.1,32.4,10.7,2.0,24.73,0.0
Нова Ушиця,2016,8,20.2,33.4,8.9,1.4,30.02,0.0
Нова Ушиця,2016,9,16.6,29.6,4.1,1.3,12.62,0.0
Нова Ушиця,2016,10,6.2,21.9,-0.9,2.5,135.34,0.0
Нова Ушиця,2016,11,1.3,15.0,-9.6,2.5,95.36,0.0
Нова Ушиця,2016,12,-1.5,7.5,-10.2,3.2,27.25,0.0
Новомиргород,2016,1,-6.3,4.7,-23.0,2.4,85.66,0.0
Новомиргород,2016,2,1.9,12.5,-11.0,2.7,40.82,0.0
Новомиргород,2016,3,4.3,17.9,-6.8,2.8,36.39,0.0
Новомиргород,2016,4,12.4,25.3,0.8,2.3,24.42,0.0
Новомиргород,2016,5,15.1,24.5,4.9,1.8,115.04,0.0
Новомиргород,2016,6,19.8,31.9,5.1,1.8,104.45,0.0
Новомиргород,2016,7,22.0,34.2,10.2,1.6,13.21,0.0
Новомиргород,2016,8,20.9,32.5,11.7,2.0,23.07,0.0
Новомиргород,2016,9,15.3,30.5,3.2,1.4,0.42,0.0
Новомиргород,2016,10,6.4,24.2,-5.0,2.4,112.22,0.0
Новомиргород,2016,11,1.4,19.0,-10.6,2.6,56.3,0.0
Новомиргород,2016,12,-2.8,6.0,-14.8,2.4,35.43,0.0
Овруч,2016,1,-5.5,6.3,-19.6,1.3,51.2,23.0
Овруч,2016,2,1.6,9.2,-4.4,1.8,74.63,3.0
Овруч,2016,3,3.2,15.6,-4.2,1.6,45.71,7.0
Овруч,2016,4,10.8,22.9,-0.5,1.3,46.01,0.0
Овруч,2016,5,14.8,26.0,5.3,1.1,90.0,0.0
Овруч,2016,6,19.6,31.4,5.4,1.2,24.13,0.0
Овруч,2016,7,20.8,32.5,10.0,1.3,78.03,0.0
Овруч,2016,8,19.1,32.1,8.8,0.9,16.06,0.0
Овруч,2016,9,14.5,29.4,3.5,0.8,20.82,0.0
Овруч,2016,10,5.9,24.0,-3.3,2.0,107.33,0.0
Овруч,2016,11,0.7,10.3,-15.5,2.1,44.94,0.0
Овруч,2016,12,-1.7,6.7,-13.8,1.5,51.19,0.0
Одеса,2016,1,-2.2,7.7,-16.1,3.5,86.0,25.0
Одеса,2016,2,4.3,16.8,-2.7,2.9,19.8,1.0
Одеса,2016,3,6.0,14.9,-3.3,2.9,37.7,0.0
Одеса,2016,4,11.3,25.0,3.3,2.5,40.3,0.0
Одеса,2016,5,15.7,25.6,8.3,2.4,48.8,0.0
Одеса,2016,6,21.7,32.2,10.7,2.1,55.3,0.0
Одеса,2016,7,24.0,32.5,14.9,1.9,3.4,0.0
Одеса,2016,8,23.9,35.1,12.9,1.9,74.6,0.0
Одеса,2016,9,18.5,28.4,7.3,2.4,114.1,0.0
Одеса,2016,10,9.4,19.9,0.9,4.2,180.5,0.0
Одеса,2016,11,5.0,15.5,-5.0,3.3,38.0,9.0
Одеса,2016,12,0.2,12.0,-8.0,3.1,10.4,3.0
Олевськ,2016,1,-5.0,8.2,-21.0,2.6,43.17,0.0
Олевськ,2016,2,2.4,12.5,-5.0,3.0,59.33,0.0
Олевськ,2016,3,3.4,13.0,-5.0,2.3,42.91,0.0
Олевськ,2016,4,10.6,24.2,-2.1,2.4,40.02,0.0
Олевськ,2016,5,14.8,26.0,2.2,1.7,77.62,0.0
Олевськ,2016,6,19.6,30.9,4.2,2.0,22.2,0.0
Олевськ,2016,7,20.2,32.6,9.5,2.2,144.6,0.0
Олевськ,2016,8,18.8,32.4,5.2,1.6,24.5,0.0
Олевськ,2016,9,13.9,29.2,1.1,1.5,14.21,0.0
Олевськ,2016,10,6.0,24.0,-3.4,2.6,97.51,0.0
Олевськ,2016,11,1.0,10.0,-13.5,2.8,57.3,0.0
Олевськ,2016,12,-1.5,7.2,-16.6,2.8,77.14,0.0
Полтава,2016,1,-7.2,4.6,-24.1,3.1,90.4,44.0
Полтава,2016,2,1.0,9.6,-7.4,3.3,36.8,22.0
Полтава,2016,3,3.5,12.2,-5.2,3.2,62.6,2.0
Полтава,2016,4,12.7,23.8,2.2,3.2,59.4,0.0
Полтава,2016,5,15.4,24.3,6.3,2.5,119.9,0.0
Полтава,2016,6,20.3,30.6,7.1,2.3,33.7,0.0
Полтава,2016,7,22.5,36.0,12.7,2.3,54.6,0.0
Полтава,2016,8,21.6,33.2,12.3,2.9,94.3,0.0
Полтава,2016,9,14.8,28.8,4.7,2.2,2.1,0.0
Полтава,2016,10,6.3,23.7,-5.4,3.0,48.1,0.0
Полтава,2016,11,0.8,15.8,-13.0,3.6,138.9,5.0
Полтава,2016,12,-3.7,4.0,-14.5,3.3,58.7,22.0
Прилуки,2016,1,-7.3,3.8,-22.7,2.5,52.61,23.0
Прилуки,2016,2,1.2,10.7,-8.8,2.7,47.0,10.0
Прилуки,2016,3,3.6,14.4,-4.1,2.7,37.81,3.0
Прилуки,2016,4,11.9,24.3,0.6,2.3,73.0,0.0
Прилуки,2016,5,14.9,25.3,4.1,1.8,119.0,0.0
Прилуки,2016,6,19.7,30.5,6.5,1.5,61.6,0.0
Прилуки,2016,7,21.6,34.5,10.0,1.6,35.35,0.0
Прилуки,2016,8,20.3,31.4,10.0,1.5,34.63,0.0
Прилуки,2016,9,13.8,29.5,2.0,1.3,8.8,0.0
Прилуки,2016,10,6.4,25.5,-3.1,2.3,86.43,0.0
Прилуки,2016,11,0.4,13.4,-14.8,2.6,47.27,0.0
Прилуки,2016,12,-2.7,5.0,-15.0,2.3,54.75,0.0
Пришиб,2016,1,-4.0,7.6,-22.0,3.0,69.1,1.0
Пришиб,2016,2,3.0,18.7,-5.7,3.2,28.01,0.0
Пришиб,2016,3,5.5,14.8,-7.3,3.4,26.8,0.8
Пришиб,2016,4,12.5,27.5,0.2,3.5,44.0,0.0
Пришиб,2016,5,15.7,25.5,5.1,2.4,84.5,0.0
Пришиб,2016,6,21.3,33.7,7.6,2.4,38.61,0.0
Пришиб,2016,7,23.6,38.2,10.9,2.5,19.7,0.0
Пришиб,2016,8,24.6,36.1,12.4,3.0,34.75,0.0
Пришиб,2016,9,15.9,29.6,3.8,2.2,31.81,0.0
Пришиб,2016,10,7.2,23.6,-4.5,3.4,27.6,0.0
Пришиб,2016,11,2.8,17.4,-10.3,3.4,39.63,0.0
